epoch,acc,loss,lr,val_acc,val_loss
127,0.56,1.6593765497207642,0.1,60.25,1.0225
128,0.560625,1.65841814994812,0.1,63.0,1.1575
129,0.569375,1.6534293365478516,0.1,59.0,-0.43
130,0.56625,1.6677143955230713,0.1,62.25000000000001,0.12
131,0.570625,1.65065514087677,0.1,69.25,1.4825
132,0.575625,1.6319794940948487,0.1,69.25,1.1675
133,0.571875,1.6122065925598144,0.1,69.0,0.8925
134,0.555625,1.6656177854537964,0.1,68.25,0.59
135,0.5875,1.5952541542053222,0.1,66.0,1.345
136,0.590625,1.6259658241271973,0.1,72.75,0.845
137,0.58875,1.636475682258606,0.1,70.5,0.255
138,0.5975,1.5679073905944825,0.1,68.75,1.21
139,0.568125,1.6453906393051148,0.1,70.0,1.32
140,0.555625,1.6275051546096801,0.1,66.75,1.4
141,0.57375,1.6199491977691651,0.1,65.25,0.785
142,0.584375,1.5847906589508056,0.1,70.75,-1.6875
143,0.58625,1.6070477628707887,0.1,75.0,1.1425
144,0.57625,1.6056494426727295,0.1,70.5,0.2825
145,0.59125,1.5741839027404785,0.1,69.0,1.08
146,0.584375,1.573354082107544,0.1,70.25,-0.8875
147,0.579375,1.6006696128845215,0.1,71.0,0.835
148,0.58,1.5997914028167726,0.1,72.5,0.8275
149,0.585,1.5993724966049194,0.1,70.75,0.12
150,0.573125,1.600631957054138,0.1,73.75,-0.435
151,0.58625,1.575380530357361,0.1,66.75,0.8425
152,0.59625,1.5427978658676147,0.1,74.0,0.6425
153,0.61125,1.5141425848007202,0.1,70.75,0.39
154,0.595625,1.554921679496765,0.1,72.25,0.675
155,0.58875,1.5786282634735107,0.1,74.0,-0.0875
156,0.580625,1.60705894947052,0.1,73.0,0.485
157,0.61,1.5018576717376708,0.1,73.75,2.48
158,0.60125,1.563011598587036,0.1,72.25,1.31
159,0.593125,1.5781792354583741,0.1,63.74999999999999,1.115
160,0.605,1.5102868938446046,0.1,75.75,0.16
161,0.600625,1.5380147123336791,0.1,66.25,0.96
162,0.595,1.5284412288665772,0.1,70.0,0.21
163,0.6,1.5297650051116944,0.1,73.75,0.2125
164,0.6025,1.5288518142700196,0.1,67.75,1.3325
165,0.589375,1.518393030166626,0.1,70.5,0.0775
166,0.596875,1.5591082429885865,0.1,73.25,0.1025
167,0.595,1.5433367490768433,0.1,73.25,0.5525
168,0.608125,1.5544326162338258,0.1,75.0,0.925
169,0.61125,1.4983487462997436,0.1,76.0,1.255
170,0.615,1.492077612876892,0.1,74.25,1.135
171,0.6125,1.483194351196289,0.1,76.5,0.2425
172,0.621875,1.5039149808883667,0.1,72.5,0.9575
173,0.605625,1.509285626411438,0.1,74.75,0.585
174,0.61875,1.484777307510376,0.1,70.75,-0.5475
175,0.615625,1.4738255691528321,0.1,72.0,-0.225
176,0.606875,1.5206553554534912,0.1,74.75,1.295
177,0.613125,1.527477684020996,0.1,75.25,0.975
178,0.62875,1.4848559617996215,0.1,72.75,1.44
179,0.61375,1.4811051750183106,0.1,70.5,1.3525
180,0.624375,1.428681445121765,0.1,76.75,0.7625
181,0.618125,1.4879146862030028,0.1,76.0,0.2325
182,0.638125,1.4628437995910644,0.1,68.0,-0.85
183,0.615,1.4981183862686158,0.1,75.25,-0.4575
184,0.639375,1.46513774394989,0.1,64.5,-1.4575
185,0.631875,1.4421774005889894,0.1,74.25,0.3775
186,0.6325,1.4636979913711547,0.1,77.25,0.5525
187,0.625,1.4698228025436402,0.1,76.5,0.8775
188,0.6175,1.4855970811843873,0.1,72.25,0.1175
189,0.618125,1.5001065731048584,0.1,72.0,-0.695
190,0.61,1.457563223838806,0.1,75.0,-0.2625
191,0.629375,1.474877152442932,0.1,76.5,0.735
192,0.630625,1.44171142578125,0.1,68.75,1.325
193,0.615,1.4470804691314698,0.1,74.25,-0.2175
194,0.6175,1.4602191638946533,0.1,71.75,-0.4975
195,0.64125,1.464056167602539,0.1,73.75,-0.0475
196,0.610625,1.4594062852859497,0.1,75.75,1.135
197,0.6325,1.4404124593734742,0.1,74.5,0.58
198,0.64375,1.4104800462722777,0.1,77.0,0.365
199,0.61625,1.4931021928787231,0.1,73.0,0.875
200,0.636875,1.4372695446014405,0.1,77.0,1.065
201,0.638125,1.4314981698989868,0.1,72.75,-0.105
202,0.628125,1.4575612878799438,0.1,75.25,1.16
203,0.636875,1.4191424703598023,0.1,76.5,-0.25
204,0.649375,1.391803684234619,0.1,76.25,0.6125
205,0.625,1.4518143367767333,0.1,75.5,0.02
206,0.670625,1.3947421789169312,0.1,74.5,1.305
207,0.633125,1.4279969978332518,0.1,78.25,1.225
208,0.658125,1.3850564098358153,0.1,78.0,-0.1875
209,0.62375,1.4357863187789917,0.1,74.25,-0.215
210,0.639375,1.4034555101394652,0.1,70.25,0.595
211,0.630625,1.440563669204712,0.1,75.25,0.6075
212,0.6425,1.4011264610290528,0.1,67.75,-0.1275
213,0.648125,1.3843915224075318,0.1,71.75,0.3175
214,0.65125,1.3846601343154907,0.1,74.0,-0.0675
215,0.63875,1.3937037324905395,0.1,79.5,0.4725
216,0.64,1.3968168210983276,0.1,77.75,1.3575
217,0.64625,1.418349962234497,0.1,71.5,1.3675
218,0.654375,1.385741081237793,0.1,75.75,0.125
219,0.6425,1.3702531194686889,0.1,74.25,-0.5725
220,0.650625,1.4011496353149413,0.1,76.0,-0.6675
221,0.6375,1.3519666194915771,0.1,76.25,0.31
222,0.64375,1.386059980392456,0.1,79.25,1.2075
223,0.653125,1.401152286529541,0.1,75.75,0.4425
224,0.659375,1.4069624137878418,0.1,78.0,0.2225
225,0.649375,1.3809283542633057,0.1,75.5,0.6175
226,0.665,1.3553387069702147,0.1,76.25,1.1825
227,0.65125,1.3894909715652466,0.1,74.75,0.56
228,0.655625,1.3804780054092407,0.1,74.75,-0.0175
229,0.669375,1.3629000473022461,0.1,76.5,1.13
230,0.61625,1.4367037057876586,0.1,73.5,0.8775
231,0.655625,1.3824931383132935,0.1,76.75,0.285
232,0.660625,1.3272888803482055,0.1,75.75,-0.3175
233,0.66625,1.3430774545669555,0.1,78.75,1.2725
234,0.65375,1.3274751663208009,0.1,77.0,1.2025
235,0.64625,1.3825994873046874,0.1,77.25,0.0225
236,0.64625,1.3729515075683594,0.1,75.25,0.2325
237,0.674375,1.3624279642105102,0.1,76.0,1.0475
238,0.653125,1.3579264783859253,0.1,74.75,1.6625
239,0.666875,1.3289760446548462,0.1,77.25,0.8275
240,0.6725,1.3199524784088135,0.1,77.5,1.055
241,0.666875,1.3675604343414307,0.1,74.5,0.0875
242,0.67875,1.3353768157958985,0.1,79.0,0.2475
243,0.64875,1.3520609712600709,0.1,77.25,0.115
244,0.66,1.3676192808151244,0.1,81.0,-0.32
245,0.66375,1.3348275232315063,0.1,73.5,-0.37
246,0.671875,1.3160452985763549,0.1,76.25,0.37
247,0.685625,1.3256859731674195,0.1,78.25,0.615
248,0.66625,1.3432723140716554,0.1,72.75,1.895
249,0.658125,1.3149521493911742,0.1,72.0,0.5325
